,demand,weekofyear_trans,hourofweek_trans
2018-06-01 08:00:00,697.9000000000001,758.0011904761902,756.0300000000003
2018-06-01 09:00:00,791.2,758.0011904761902,858.1100000000002
2018-06-01 10:00:00,899.9,758.0011904761902,956.4466666666666
2018-06-01 11:00:00,923.1999999999999,758.0011904761902,1029.3966666666665
2018-06-01 12:00:00,958.6,758.0011904761902,1051.7866666666664
2018-06-01 13:00:00,1012.5,758.0011904761902,1067.5566666666666
2018-06-01 14:00:00,1029.7,758.0011904761902,1068.8966666666668
2018-06-01 15:00:00,1006.5,758.0011904761902,1067.0266666666669
2018-06-01 16:00:00,1008.5000000000001,758.0011904761902,1067.77
2018-06-01 17:00:00,991.5,758.0011904761902,1052.4066666666668
2018-06-01 18:00:00,951.1999999999999,758.0011904761902,1021.1666666666665
2018-06-01 19:00:00,875.5999999999999,758.0011904761902,932.5533333333334
2018-06-01 20:00:00,548.8,758.0011904761902,828.4866666666666
2018-06-01 21:00:00,892.3,758.0011904761902,790.9266666666666
2018-06-01 22:00:00,712.3999999999999,758.0011904761902,757.6866666666666
2018-06-01 23:00:00,705.9000000000001,758.0011904761902,736.0600000000002
2018-06-02 00:00:00,641.1999999999999,758.0011904761902,704.0379310344827
2018-06-02 01:00:00,638.8,758.0011904761902,701.6758620689656
2018-06-02 02:00:00,596.9,758.0011904761902,613.4275862068966
2018-06-02 03:00:00,614.8,758.0011904761902,665.2413793103449
2018-06-02 04:00:00,609.4,758.0011904761902,655.1103448275862
2018-06-02 05:00:00,608.0,758.0011904761902,652.903448275862
2018-06-02 06:00:00,607.4,758.0011904761902,642.4896551724139
2018-06-02 07:00:00,588.1,758.0011904761902,661.0965517241381
2018-06-02 08:00:00,627.9,758.0011904761902,698.6310344827588
2018-06-02 09:00:00,720.4999999999999,758.0011904761902,739.2862068965514
2018-06-02 10:00:00,756.1000000000001,758.0011904761902,764.9172413793103
2018-06-02 11:00:00,802.2,758.0011904761902,825.8068965517241
2018-06-02 12:00:00,890.3,758.0011904761902,915.4827586206898
2018-06-02 13:00:00,902.9000000000001,758.0011904761902,953.8965517241379
2018-06-02 14:00:00,907.1000000000001,758.0011904761902,959.5344827586205
2018-06-02 15:00:00,919.6,758.0011904761902,962.5103448275863
2018-06-02 16:00:00,905.8,758.0011904761902,963.2172413793104
2018-06-02 17:00:00,850.1,758.0011904761902,957.9034482758623
2018-06-02 18:00:00,902.1999999999999,758.0011904761902,948.634482758621
2018-06-02 19:00:00,813.6000000000001,758.0011904761902,882.051724137931
2018-06-02 20:00:00,713.3,758.0011904761902,802.5689655172415
2018-06-02 21:00:00,718.1,758.0011904761902,782.1862068965517
2018-06-02 22:00:00,741.4,758.0011904761902,748.403448275862
2018-06-02 23:00:00,740.4,758.0011904761902,731.2137931034482
2018-06-03 00:00:00,698.0,758.0011904761902,702.7448275862068
2018-06-03 01:00:00,691.0999999999999,758.0011904761902,695.7241379310345
