,aggregate_forecast,aggregate_actual
2018-01-15 08:00:00,796.1306289470583,743.4000000000001
2018-01-15 09:00:00,938.6303939967173,831.3999999999999
2018-01-15 10:00:00,1015.3353283925022,894.9
2018-01-15 11:00:00,1066.9674493545488,932.7
2018-01-15 12:00:00,1070.2274635200872,970.0
2018-01-15 13:00:00,1066.74923871932,969.8
2018-01-15 14:00:00,1049.7429018860362,964.0
2018-01-15 15:00:00,1030.4478567189656,967.2
2018-01-15 16:00:00,1070.3585445451938,941.7
2018-01-15 17:00:00,1095.7419090918308,950.3
2018-01-15 18:00:00,1070.4965375579347,949.0999999999999
2018-01-15 19:00:00,980.876171171525,903.7
2018-01-15 20:00:00,871.1548059165275,850.0999999999999
2018-01-15 21:00:00,857.5304389374494,820.8
2018-01-15 22:00:00,804.5956677182552,794.2
